Origin,Origin Name,Origin City,Origin State,Origin Country,Destination,Destination Name,Destination City,Destination State,Destination Country,Occurrences,Total Seats
CCS,Simon Bolivar International,Caracas,,Venezuela,PMV,Del Caribe International,Porlamar,,Venezuela,127,627167
CCS,Simon Bolivar International,Caracas,,Venezuela,MAR,La Chinita International,Maracaibo,,Venezuela,66,455171
CCS,Simon Bolivar International,Caracas,,Venezuela,PZO,Manuel Carlos Piar,Puerto Ordaz,,Venezuela,52,314226
CCS,Simon Bolivar International,Caracas,,Venezuela,PTY,"Tocumen Intl, Panama R",Panama City,,Panama,80,237840
CCS,Simon Bolivar International,Caracas,,Venezuela,BOG,El Dorado Intl,Bogota,,Colombia,34,237675
CCS,Simon Bolivar International,Caracas,,Venezuela,BLA,J.A. Anzoategui Intl,Barcelona,,Venezuela,54,229175
CCS,Simon Bolivar International,Caracas,,Venezuela,BRM,Jacinto Lara Intl,Barquisimeto,,Venezuela,32,227776
CCS,Simon Bolivar International,Caracas,,Venezuela,AUA,Reina Beatrix,Aruba,,Aruba,36,195060
CCS,Simon Bolivar International,Caracas,,Venezuela,VIG,Juan P. Perez Alfonso,El Vigia,,Venezuela,36,191261
CCS,Simon Bolivar International,Caracas,,Venezuela,MUN,Jose T. Monagas International,Maturin,,Venezuela,32,171488
CCS,Simon Bolivar International,Caracas,,Venezuela,STD,Buenaventura Vivas,Santo Domingo,,Venezuela,35,150245
CCS,Simon Bolivar International,Caracas,,Venezuela,MIA,Miami International,Miami,FL,United States,42,123682
CCS,Simon Bolivar International,Caracas,,Venezuela,MAD,Adolfo Suarez-Barajas,Madrid,,Spain,42,111887
CCS,Simon Bolivar International,Caracas,,Venezuela,SDQ,Las Americas International,Santo Domingo,,Dominican Republic,10,81466
CCS,Simon Bolivar International,Caracas,,Venezuela,LIM,Jorge Chavez Intl,Lima,,Peru,28,79559
CCS,Simon Bolivar International,Caracas,,Venezuela,LSP,Josefa Camejo International,Las Piedras,,Venezuela,16,77498
CCS,Simon Bolivar International,Caracas,,Venezuela,EZE,Ministro Pistarini,Buenos Aires,BA,Argentina,40,63334
CCS,Simon Bolivar International,Caracas,,Venezuela,POS,Piarco International,Port of Spain,,Trinidad and Tobago,8,53846
CCS,Simon Bolivar International,Caracas,,Venezuela,CUR,Hato International,Curacao,,Curacao,35,49438
CCS,Simon Bolivar International,Caracas,,Venezuela,CUM,Antonio Jose de Sucre,Cumana,,Venezuela,5,45135
CCS,Simon Bolivar International,Caracas,,Venezuela,HAV,Jose Marti Intl,Havana,,Cuba,40,42609
CCS,Simon Bolivar International,Caracas,,Venezuela,CDG,Charles De Gaulle,Paris-De Gaulle,,France,20,34871
CCS,Simon Bolivar International,Caracas,,Venezuela,LRV,Los Roques,Los Roques,,Venezuela,25,33582
CCS,Simon Bolivar International,Caracas,,Venezuela,GYE,Jose Joaquin de Olmedo,Guayaquil,,Ecuador,12,29781
CCS,Simon Bolivar International,Caracas,,Venezuela,PUJ,Punta Cana International,Punta Cana,,Dominican Republic,14,28916
CCS,Simon Bolivar International,Caracas,,Venezuela,BNS,Barinas Civil,Barinas,,Venezuela,7,25790
CCS,Simon Bolivar International,Caracas,,Venezuela,IAH,George Bush Intercontinental,Houston-Intercontinental,TX,United States,15,19978
CCS,Simon Bolivar International,Caracas,,Venezuela,SOM,San Tome,San Tome,,Venezuela,6,19968
CCS,Simon Bolivar International,Caracas,,Venezuela,MEX,Benito Juarez Intl,Mexico City,,Mexico,18,16860
CCS,Simon Bolivar International,Caracas,,Venezuela,FCO,Fiumicino,Rome-Da Vinci,,Italy,4,16576
CCS,Simon Bolivar International,Caracas,,Venezuela,PYH,Cacique Aramare,Puerto Ayacucho,,Venezuela,6,16224
CCS,Simon Bolivar International,Caracas,,Venezuela,CZE,Jose Leonardo Chirinos,Coro,,Venezuela,6,14456
CCS,Simon Bolivar International,Caracas,,Venezuela,LIS,Lisboa,Lisbon,,Portugal,8,11801
CCS,Simon Bolivar International,Caracas,,Venezuela,LFR,La Fria,La Fria,,Venezuela,3,10315
CCS,Simon Bolivar International,Caracas,,Venezuela,GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,12,9858
CCS,Simon Bolivar International,Caracas,,Venezuela,JFK,John F Kennedy Intl,New York-JFK,NY,United States,7,8771
CCS,Simon Bolivar International,Caracas,,Venezuela,FRA,Frankfurt International Airport,Frankfurt,,Germany,7,7875
CCS,Simon Bolivar International,Caracas,,Venezuela,SCL,Arturo M Benitez,Santiago,,Chile,10,5653
CCS,Simon Bolivar International,Caracas,,Venezuela,SFD,Las Flecheras,San Fernando Apur,,Venezuela,6,4552
CCS,Simon Bolivar International,Caracas,,Venezuela,MGA,Augusto C Sandino Intl,Managua,,Nicaragua,4,3328
CCS,Simon Bolivar International,Caracas,,Venezuela,CUN,Cancun International,Cancun,,Mexico,1,2655
CCS,Simon Bolivar International,Caracas,,Venezuela,OPO,Porto,Porto,,Portugal,2,1896
CCS,Simon Bolivar International,Caracas,,Venezuela,ATL,Hartsfield-Jackson ATL,Atlanta,GA,United States,9,1835
CCS,Simon Bolivar International,Caracas,,Venezuela,FNC,Madeira Airport,Madeira,,Portugal,2,1659
CCS,Simon Bolivar International,Caracas,,Venezuela,VLV,Antonio N. Briceno,Valera,,Venezuela,1,1326
